source,target,predicate,dossier_id,relationship_id
BGC0000003,wider AFT functional programme,is_segment_of,M4-FUNG-0001,R001
wider AFT functional programme,conditionally dispensable/accessory chromosome,located_on,M4-FUNG-0001,R002
E001,NAF8,uses_strain,M4-FUNG-0001,R003
E001,A. oryzae RIB40,uses_strain,M4-FUNG-0002,R003
E002,YM-19,uses_strain,M4-FUNG-0001,R004
BGC0000004,canonical aflatoxin biosynthetic gene cluster,homologous_to,M4-FUNG-0002,R001
RIB40 aflJ/aflS allele,loss-of-function in regulatory assay,has_functional_state,M4-FUNG-0002,R002
E003,A. oryzae RIB67,uses_recipient,M4-FUNG-0002,R004
MIBiG compound annotation,aflatoxin G1 NMR characterization,references_structure_evidence,M4-FUNG-0002,R005
AY371490.1:1-82081,~70-kb 25-gene aflatoxin biosynthetic cluster,contains,M4-FUNG-0003,R001
AY371490.1:1-82081,nadA-hxtA-glcA-sugR; nadA later shown to participate in G-aflatoxin formation,contains_historical_adjacent_block,M4-FUNG-0003,R002
aflR,multiple aflatoxin structural genes,activates,M4-FUNG-0003,R003
nitrate,aflatoxin pathway expression/production under tested condition,inhibits,M4-FUNG-0003,R004
native chromosomal cluster position,nor-1 expression under inducing conditions,supports,M4-FUNG-0003,R005
aflU/cypA,G-aflatoxin branch,required_for,M4-FUNG-0003,R006
ATCC 56775,partial duplicated aflatoxin-cluster module,contains,M4-FUNG-0003,R007
BGC0000005.3,retired,database_status,M4-FUNG-0003,R008
nadA,late G-group aflatoxin biosynthesis beyond the historical 25-gene core,contributes_to,M4-FUNG-0003,R009
BGC0000006,AY510451.1:1-88318,encoded_by,M4-FUNG-0004,R001
AF13,aflatoxin B1 and aflatoxin B2,produces,M4-FUNG-0004,R002
AF13 norB–cypA proximal module,degenerated by 32-bp + 854-bp deletions,has_state,M4-FUNG-0004,R003
norB–cypA deletion,G-aflatoxin formation,constrains,M4-FUNG-0004,R004
cottonseed lipids,AFB1 production by AF13,promote_contextually,M4-FUNG-0004,R005
atoxigenic A. flavus AF36,realized AF13 aflatoxin contamination in cotton,suppresses_contextually,M4-FUNG-0004,R006
atfC,BGC0000006,located_outside,M4-FUNG-0004,R007
atfC,oxidative-stress tolerance; aflatoxin effect remains context-dependent,modifies,M4-FUNG-0004,R008
BGC0000007,AY510452.1:1-82511,encoded_by,M4-FUNG-0005,R001
BN008R / ATCC MYA-379,Aspergillus aflatoxiformans,current_literature_assignment,M4-FUNG-0005,R002
BN008R,aflatoxin B1 and aflatoxin G1,produces,M4-FUNG-0005,R003
urea nitrogen,BN008R B1/G1 accumulation relative to ammonium,promotes_contextually,M4-FUNG-0005,R004
very acidic pH,BN008R B1/G1 accumulation,suppresses_contextually,M4-FUNG-0005,R005
aflR transcript,BN008R aflatoxin output across pH,imperfectly_predicts,M4-FUNG-0005,R006
cypA,G-aflatoxin branch,required_for,M4-FUNG-0005,R007
BGC0000008,AY510453.1:1-75829,encoded_by,M4-FUNG-0006,R001
AF70,A. flavus AF70 / ATCC MYA-384 (strain TaxID 1392242),has_strain_taxonomy,M4-FUNG-0006,R002
AF70,aflatoxin B1 and aflatoxin B2,produces,M4-FUNG-0006,R003
ground corn,AF70 aflatoxin-cluster transcription and AFB1 output relative to PDB,promotes_contextually,M4-FUNG-0006,R004
Hbx1,AF70 development and aflatoxin production,supports,M4-FUNG-0006,R005
FhpA,AF70 AFB1 production,negatively_modulates_contextually,M4-FUNG-0006,R006
AF70 aflF/aflU region,S-morphotype deletion/degeneration,has_state,M4-FUNG-0006,R007
AF70 cluster genotype,NRRL3357 aflatoxin cluster,differs_extensively_from,M4-FUNG-0006,R008
BGC0000009,AY510454.1:1-75352,encoded_by,M4-FUNG-0007,R001
NRRL 13137,Aspergillus nomiae,current_species_name,M4-FUNG-0007,R002
NRRL 13137,aflatoxin B1/B2/G1/G2,produces,M4-FUNG-0007,R003
intact aflU/cypA,G-aflatoxin branch competence,supports,M4-FUNG-0007,R004
high initial spore density in peptone medium,NRRL 13137 aflatoxin biosynthesis,suppresses_contextually,M4-FUNG-0007,R005
high initial spore density in glucose medium,NRRL 13137 aflatoxin biosynthesis,promotes_contextually,M4-FUNG-0007,R006
arachidin-3,NRRL 13137 growth/development and AFB1 accumulation,suppresses_contextually,M4-FUNG-0007,R007
temperature,A. nomiae growth/transcript state versus final toxin output,differentially_controls,M4-FUNG-0007,R008
BGC0000010,AY510455.1:1-78264,encoded_by,M4-FUNG-0008,R001
AF36,YV36,belongs_to_VCG,M4-FUNG-0008,R002
AF36,MAT1-2,has_mating_type,M4-FUNG-0008,R003
aflC/pksA nt591 G→A,premature stop codon / nonfunctional PKS,causes,M4-FUNG-0008,R004
nonfunctional PksA,aflatoxin pathway biochemical execution,prevents,M4-FUNG-0008,R005
