metabolite_key,dossier_id,metabolite_id,name_raw,congener_or_variant_raw,formula,structure_id,chemical_role_raw,bioactivity_raw,recovery_location_raw,identification_level_raw,source_ids,note,source_row
M4-FUNG-0001:M001,M4-FUNG-0001,M001,AF-toxin I,I,,PubChem/structure reported,pathway product,host-selective phytotoxin,extracellular,exact congener reported,S002; S004,,117
M4-FUNG-0001:M002,M4-FUNG-0001,M002,AF-toxin II,II,,,pathway product,host-selective phytotoxin,extracellular,exact congener reported,S002; S004,,118
M4-FUNG-0001:M003,M4-FUNG-0001,M003,AF-toxin III,III,,,pathway product,host-selective phytotoxin,extracellular,exact congener reported,S004,Detection varies by study/strain,119
M4-FUNG-0002:M001,M4-FUNG-0002,M001,aflatoxin G1,G1,C17H12O7,,MIBiG-linked product / aflatoxin pathway product,potent mycotoxin,not recovered from RIB40,structure established independently by NMR,S001; S007,Do not interpret MIBiG compound annotation as evidence that RIB40 produces G1.,130
M4-FUNG-0003:M001,M4-FUNG-0003,M001,aflatoxin B1,B1,C17H12O6,NR,native final pathway product,mycotoxin,culture extract / assay-dependent,exact compound,S003; S009,Produced by the sequenced strain background.,136
M4-FUNG-0003:M002,M4-FUNG-0003,M002,aflatoxin B2,B2,C17H14O6,NR,native final pathway product,mycotoxin,culture extract / assay-dependent,exact compound,S003; S009,Produced by A. parasiticus; dihydro congener.,137
M4-FUNG-0003:M003,M4-FUNG-0003,M003,aflatoxin G1,G1,C17H12O7,NR,native final pathway product,mycotoxin,culture extract / assay-dependent,exact compound,S003; S009,CypA disruption specifically abolishes G-aflatoxin formation while retaining B branch.,138
M4-FUNG-0003:M004,M4-FUNG-0003,M004,aflatoxin G2,G2,C17H14O7,NR,native final pathway product,mycotoxin,culture extract / assay-dependent,exact compound,S003; S009,Produced by A. parasiticus; dihydro G congener.,139
M4-FUNG-0004:M001,M4-FUNG-0004,M001,aflatoxin B1,B1,C17H12O6,NR,native final pathway product,mycotoxin,culture/host extract; partition often unresolved,authentic-standard-supported exact compound,S001; S003; S005; S006; S008,Dominant AF13 product in several culture experiments.,130
M4-FUNG-0004:M002,M4-FUNG-0004,M002,aflatoxin B2,B2,C17H14O6,NR,native final pathway product,mycotoxin,culture/host extract,authentic-standard-supported exact compound,S001; S005,MIBiG cites experimental authentic-standard support from Fountain et al. 2020.,131
