term_id,term_type,raw_label,canonical_label,normalization_status
TERM_46c4b59fd552,state.culture_architecture,native fungal genetic study,,"unresolved_type_mismatch: label describes study design, not culture architecture"
TERM_cc22fa910756,action.intervention,AFT10 gene targeting,AFT10 genetic targeting,normalized
TERM_bff54ae8c0a2,observation.sample_matrix,fungal culture / host assay,,unresolved_composite: combines fungal-culture and host-assay sample contexts
TERM_8a373545194d,assay.method,toxin assay + pathogenicity phenotype,,unresolved_composite: combines analytical assay and pathogenicity phenotype
TERM_ff3f6e70e786,state.culture_architecture,germinating conidia,,"unresolved_type_mismatch: germinating conidia is a developmental state, not culture architecture"
TERM_0ab8868e5036,state.medium,potato-dextrose preculture; germination assay,potato dextrose medium,normalized_partial: medium component extracted; germination-assay phrase remains only in raw_label
TERM_238551ba64a3,state.temperature_C,26,,unreviewed
TERM_eeba46a2d707,state.agitation,static,,unreviewed
TERM_4eb4566c1fef,action.intervention,none,no experimental intervention,normalized
TERM_446bb74f7fbb,state.developmental_state,germinating conidia,germinating conidia,normalized
TERM_84963668f3ad,time.window,early germination time course,early germination time course,normalized
TERM_1a2d60b70c47,observation.sample_matrix,germination fluid,germination fluid,normalized
TERM_eab56c41ec10,assay.method,RP-HPLC,reversed-phase HPLC,normalized
TERM_f0f85849fc40,state.culture_architecture,shaking liquid-culture expression assay,shaking liquid culture,normalized_partial: culture architecture extracted; expression-assay purpose remains only in raw_label
TERM_6a2e5488ae2d,state.medium,YES medium,YES medium,normalized
TERM_c6e78cf3c85d,state.temperature_C,30,,unreviewed
TERM_3d6aa3b51843,state.agitation,shaking,,unreviewed
TERM_365e90e3b893,time.window,2 days,48 h,normalized
TERM_ecf4d4eb01a2,observation.sample_matrix,mycelial RNA,mycelial RNA,normalized
TERM_e19bec3df2ec,assay.method,RT-PCR + real-time qPCR,,unresolved_composite: contains distinct RT-PCR and quantitative real-time PCR methods
TERM_160de563dfc7,state.culture_architecture,population genotype survey,,"unresolved_type_mismatch: population genotype survey is a study design, not culture architecture"
TERM_8494ce4ec30a,action.intervention,PCR survey of seven aflatoxin-cluster genes,,"unresolved_type_mismatch: PCR survey is an assay, not an experimental intervention"
TERM_48eb02257eff,time.window,single survey,single timepoint,normalized
TERM_af578adf3340,observation.sample_matrix,genomic DNA,genomic DNA,normalized
TERM_f53098557f4c,assay.method,PCR,PCR,normalized
TERM_8a66e187a7f0,state.culture_architecture,forced-expression regulator-function assay,,"unresolved_type_mismatch: forced-expression regulator-function assay is a study design, not culture architecture"
TERM_a2fdc4da9ce0,action.intervention,pgkA-driven aflR and aflJ/aflS allele expression,pgkA-driven expression of aflR and aflJ/aflS alleles,normalized
TERM_adfe7079b303,observation.sample_matrix,RNA,RNA,normalized
TERM_d21955ab4025,assay.method,"RT-PCR of avnA, verB, omtA and vbs",RT-PCR,normalized_partial: assay method canonicalized; target-gene list remains only in raw_label
TERM_6a8dd34384bd,state.culture_architecture,comparative genotype–chemotype analysis,,"unresolved_type_mismatch: label describes comparative genotype-chemotype study design, not culture architecture"
TERM_ae877229bef1,action.intervention,none / comparative,no experimental intervention,normalized_partial: no-intervention component extracted; comparative-study context remains only in raw_label
TERM_340a6a0ca6be,observation.sample_matrix,culture extracts,culture extract,normalized
TERM_be0b478a81e8,assay.method,ELISA + mass spectrometry,,unresolved_composite: contains distinct ELISA and mass-spectrometry methods
TERM_36fa250a20cf,state.culture_architecture,chromosomal-deletion mapping,,"unresolved_type_mismatch: chromosomal-deletion mapping is a study design/mapping procedure, not culture architecture"
TERM_c3987cd79e58,assay.method,PCR / Southern / sequence analysis,,"unresolved_composite: contains distinct PCR, Southern blot, and sequence-analysis methods"
TERM_33cc6fe0356a,state.culture_architecture,genomic sequencing and pathway annotation,,"unresolved_type_mismatch: genomic sequencing and pathway annotation describe analysis workflow, not culture architecture"
TERM_05ea1dce8951,time.window,sequence study,,unresolved_type_mismatch: sequence study does not specify a temporal window
TERM_a1545263522e,assay.method,clone sequencing / sequence assembly,clone sequencing and sequence assembly,normalized
TERM_186f079ce9be,state.culture_architecture,native fungal culture,native fungal culture,normalized
TERM_abdbbbb8832c,state.medium,aflatoxin-permissive culture conditions,,unresolved_underspecified: label describes aflatoxin-permissive conditions without identifying medium composition
TERM_3a429cdeb284,action.intervention,pksA disruption,pksA disruption,normalized
TERM_ec418730669c,time.window,endpoint,endpoint,normalized
TERM_7f8ab810d1c5,observation.sample_matrix,culture extract / precursor phenotype,culture extract,normalized_partial: sample-matrix component extracted; precursor phenotype remains only in raw_label
TERM_8864385058ce,assay.method,TLC / genetic disruption,thin-layer chromatography (TLC),normalized_partial: analytical-method component extracted; genetic-disruption intervention remains only in raw_label
TERM_352375642c58,state.culture_architecture,submerged fungal culture,submerged fungal culture,normalized
TERM_991f8e36795b,state.medium,nitrate-containing medium,nitrate-containing medium,normalized
TERM_7c1ff3997442,action.intervention,additional aflR copy / increased aflR expression,additional aflR copy,normalized_partial: genetic intervention extracted; increased aflR expression remains only in raw_label
TERM_b816a21fe850,state.developmental_state,vegetative culture,vegetative growth,normalized
TERM_bc8100d4de65,observation.sample_matrix,RNA + aflatoxin culture output,,unresolved_composite: combines RNA sample material with aflatoxin culture-output material
TERM_a38462a71301,assay.method,Northern/transcription assays + aflatoxin analysis,,unresolved_composite: combines Northern/transcription assays with aflatoxin analysis
TERM_0fd39bcdded7,action.intervention,aflR disruption,aflR disruption,normalized
TERM_a757ff4fc902,observation.sample_matrix,RNA + metabolite extract,,unresolved_composite: combines RNA and metabolite-extract sample matrices
TERM_6423427bc19a,assay.method,Northern + TLC + mass spectrometry,,"unresolved_composite: contains distinct Northern blot, TLC, and mass-spectrometry methods"
TERM_a9b9ea58b4b5,state.medium,YES (inducing) versus Czapek-Dox/CZ (non-inducing in this system),,unresolved_composite: compares YES and Czapek-Dox media and embeds condition-specific response interpretation
TERM_8723a3a7b467,action.intervention,nor-1 promoter-GUS reporter integrated at native nor-1 versus ectopic niaD/pyrG loci,nor-1 promoter-GUS reporter integration,normalized_partial: reporter-integration intervention extracted; native-versus-ectopic locus comparison remains only in raw_label
TERM_57dc9a60bbc3,state.developmental_state,growth-phase transition,growth-phase transition,normalized
TERM_2da79a677319,time.window,"24, 48, 72 h",24 h; 48 h; 72 h,normalized
TERM_22e6e093792f,observation.sample_matrix,RNA + culture aflatoxin + GUS reporter,,"unresolved_composite: combines RNA sample material, culture-aflatoxin output, and GUS reporter readout in one sample-matrix label"
TERM_298811408876,assay.method,Northern / GUS / aflatoxin analysis,,"unresolved_composite: combines Northern analysis, GUS reporter assay, and aflatoxin analysis as distinct measurement methods"
TERM_6f41adfb4ade,state.culture_architecture,small-volume fungal culture,small-volume fungal culture,normalized
TERM_e8f0ec35b8b1,state.medium,YES,YES medium,normalized
TERM_e5aebeddd237,action.intervention,cypA insertional disruption,cypA insertional disruption,normalized
TERM_1da8d6d01623,time.window,3 days,72 h,normalized
TERM_d5b3d920314a,observation.sample_matrix,culture extract,culture extract,normalized
TERM_c2e6b8aea506,assay.method,"acetone extraction + methylene chloride partition + TLC, UV 360 nm",thin-layer chromatography (TLC) with UV 360 nm detection,normalized_partial: analytical detection method extracted; acetone extraction and methylene-chloride partition remain only in raw_label as sample-preparation steps
TERM_7f4f5e5cb281,state.culture_architecture,genomic duplication and regulator-function study,,"unresolved_type_mismatch: label describes genomic-duplication/regulator-function study design, not culture architecture"
TERM_59790a016851,action.intervention,partial-cluster duplication analysis; aflR1 deletion; one-/two-hybrid assays,,unresolved_composite: combines aflR1 deletion with partial-cluster duplication analysis and one-/two-hybrid assays; distinct intervention and assay components require separate representation
TERM_012a06808c0f,observation.sample_matrix,genomic DNA / regulator assays / precursor phenotype,genomic DNA,normalized_partial: genomic-DNA sample component extracted; regulator-assay and precursor-phenotype phrases remain only in raw_label
TERM_70a734f52dfc,assay.method,sequence analysis + one-hybrid + two-hybrid + deletion genetics,,"unresolved_composite: combines sequence analysis, one-hybrid, two-hybrid, and deletion genetics; the final component is a genetic intervention rather than an assay method"
TERM_d533e6b76a48,state.culture_architecture,cluster sequencing / comparative genomics,,"unresolved_type_mismatch: cluster sequencing and comparative genomics describe analysis workflow, not culture architecture"
TERM_961a1df7166c,assay.method,shotgun/fosmid sequencing + comparative sequence analysis,shotgun/fosmid sequencing and comparative sequence analysis,normalized
TERM_d7db661db8fa,state.medium,glucose minimal salts (aflatoxin-conducive) versus peptone minimal salts (nonconducive),glucose minimal salts versus peptone minimal salts medium,normalized_partial: compared media retained; condition-specific aflatoxin-conducive/nonconducive interpretation remains only in raw_label
TERM_f0e960a8fc0f,observation.sample_matrix,total RNA,total RNA,normalized
TERM_0fc8e04eca28,assay.method,Northern hybridization,Northern blot hybridization,normalized
TERM_ad9d3c8753bb,state.culture_architecture,submerged shake-flask cottonseed-reserve model,submerged shake-flask culture,normalized_partial: culture architecture extracted; cottonseed-reserve model context remains only in raw_label
TERM_c1330157a745,state.medium,defined medium or ground cottonseed treatments,defined medium or ground cottonseed substrate,normalized_partial: growth-medium/substrate alternatives retained in neutral form; treatment framing remains only in raw_label
TERM_bdefa6492c8d,state.temperature_C,31,,unreviewed
TERM_91a8a080719a,state.agitation,200,,unreviewed
TERM_ae16d36ff632,action.intervention,lipid removal / lipid reconstitution / reserve-component manipulation,,"unresolved_composite: contains distinct lipid removal, lipid reconstitution, and reserve-component manipulation interventions that require separate action terms"
TERM_838741870ddf,state.developmental_state,vegetative growth,vegetative growth,normalized
TERM_cfd8230b9928,time.window,5-day endpoint; separate 0–7-day time course,,unresolved_composite: combines a 5-day endpoint with a separate 0–7-day time course; distinct temporal regimes require separate representation
TERM_969b44bb768e,observation.sample_matrix,whole culture / medium + biomass,whole culture (medium + biomass),normalized
TERM_4d01921d8418,assay.method,acetone extraction + TLC fluorescence densitometry; substrate analyses,thin-layer chromatography (TLC) fluorescence densitometry,normalized_partial: analytical readout extracted; acetone extraction and substrate analyses remain only in raw_label
