experiment_link_id,experiment_key,relation_type,term_id,raw_value,source_ids,source_row
XLINK_17e48e2ec292,M4-FUNG-0001:E001,state.culture_architecture,TERM_46c4b59fd552,native fungal genetic study,S002,128
XLINK_0d3e69904e81,M4-FUNG-0001:E001,action.intervention,TERM_cc22fa910756,AFT10 gene targeting,S002,128
XLINK_391ea663a1b3,M4-FUNG-0001:E001,observation.sample_matrix,TERM_bff54ae8c0a2,fungal culture / host assay,S002,128
XLINK_ac3a655eaec8,M4-FUNG-0001:E001,assay.method,TERM_8a373545194d,toxin assay + pathogenicity phenotype,S002,128
XLINK_94ccbae1f4c8,M4-FUNG-0001:E002,state.culture_architecture,TERM_ff3f6e70e786,germinating conidia,S004,129
XLINK_17dd2321cab6,M4-FUNG-0001:E002,state.medium,TERM_0ab8868e5036,potato-dextrose preculture; germination assay,S004,129
XLINK_0a0c5a55ea2c,M4-FUNG-0001:E002,state.temperature_C,TERM_238551ba64a3,26,S004,129
XLINK_95c16a9037fa,M4-FUNG-0001:E002,state.agitation,TERM_eeba46a2d707,static,S004,129
XLINK_c6f77b0ecdc5,M4-FUNG-0001:E002,action.intervention,TERM_4eb4566c1fef,none,S004,129
XLINK_58fb6bf1848b,M4-FUNG-0001:E002,state.developmental_state,TERM_446bb74f7fbb,germinating conidia,S004,129
XLINK_0ca75ee7b131,M4-FUNG-0001:E002,time.window,TERM_84963668f3ad,early germination time course,S004,129
XLINK_652568cc09ed,M4-FUNG-0001:E002,observation.sample_matrix,TERM_1a2d60b70c47,germination fluid,S004,129
XLINK_0cab07f581a3,M4-FUNG-0001:E002,assay.method,TERM_eab56c41ec10,RP-HPLC,S004,129
XLINK_20e914ef324e,M4-FUNG-0002:E001,state.culture_architecture,TERM_f0f85849fc40,shaking liquid-culture expression assay,S002,141
XLINK_04e26ab9f370,M4-FUNG-0002:E001,state.medium,TERM_6a2e5488ae2d,YES medium,S002,141
XLINK_c2fec7552948,M4-FUNG-0002:E001,state.temperature_C,TERM_c6e78cf3c85d,30,S002,141
XLINK_4811fd48b874,M4-FUNG-0002:E001,state.agitation,TERM_3d6aa3b51843,shaking,S002,141
XLINK_990d3ef22ad5,M4-FUNG-0002:E001,action.intervention,TERM_4eb4566c1fef,none,S002,141
XLINK_501656ab9428,M4-FUNG-0002:E001,time.window,TERM_365e90e3b893,2 days,S002,141
XLINK_8b0978a31e34,M4-FUNG-0002:E001,observation.sample_matrix,TERM_ecf4d4eb01a2,mycelial RNA,S002,141
XLINK_dfbce773c895,M4-FUNG-0002:E001,assay.method,TERM_e19bec3df2ec,RT-PCR + real-time qPCR,S002,141
XLINK_aa7f28bf7daa,M4-FUNG-0002:E002,state.culture_architecture,TERM_160de563dfc7,population genotype survey,S002,142
XLINK_b62a9adc96fa,M4-FUNG-0002:E002,action.intervention,TERM_8494ce4ec30a,PCR survey of seven aflatoxin-cluster genes,S002,142
XLINK_ad826f4175af,M4-FUNG-0002:E002,time.window,TERM_48eb02257eff,single survey,S002,142
XLINK_1aead201cd80,M4-FUNG-0002:E002,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S002,142
XLINK_6f7f917d862f,M4-FUNG-0002:E002,assay.method,TERM_f53098557f4c,PCR,S002,142
XLINK_f4aa7ac15f0e,M4-FUNG-0002:E003,state.culture_architecture,TERM_8a66e187a7f0,forced-expression regulator-function assay,S003,143
XLINK_02c28d986d39,M4-FUNG-0002:E003,action.intervention,TERM_a2fdc4da9ce0,pgkA-driven aflR and aflJ/aflS allele expression,S003,143
XLINK_d7404569c355,M4-FUNG-0002:E003,observation.sample_matrix,TERM_adfe7079b303,RNA,S003,143
XLINK_6de4152cba8a,M4-FUNG-0002:E003,assay.method,TERM_d21955ab4025,"RT-PCR of avnA, verB, omtA and vbs",S003,143
XLINK_92b366c41bfc,M4-FUNG-0002:E004,state.culture_architecture,TERM_6a8dd34384bd,comparative genotype–chemotype analysis,S004,144
XLINK_9306a55db0b7,M4-FUNG-0002:E004,action.intervention,TERM_ae877229bef1,none / comparative,S004,144
XLINK_ed4fb5c747f4,M4-FUNG-0002:E004,observation.sample_matrix,TERM_340a6a0ca6be,culture extracts,S004,144
XLINK_a52ff50f6a34,M4-FUNG-0002:E004,assay.method,TERM_be0b478a81e8,ELISA + mass spectrometry,S004,144
XLINK_96cbc686acc0,M4-FUNG-0002:E005,state.culture_architecture,TERM_36fa250a20cf,chromosomal-deletion mapping,S005,145
XLINK_b2241001979d,M4-FUNG-0002:E005,action.intervention,TERM_4eb4566c1fef,none,S005,145
XLINK_db10ecbb91f8,M4-FUNG-0002:E005,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S005,145
XLINK_de8cbbb88d99,M4-FUNG-0002:E005,assay.method,TERM_c3987cd79e58,PCR / Southern / sequence analysis,S005,145
XLINK_5b1ecc70fabc,M4-FUNG-0003:E001,state.culture_architecture,TERM_33cc6fe0356a,genomic sequencing and pathway annotation,S002; S003; S004,147
XLINK_0bd316581fa4,M4-FUNG-0003:E001,action.intervention,TERM_4eb4566c1fef,none,S002; S003; S004,147
XLINK_0b76eeb589d1,M4-FUNG-0003:E001,time.window,TERM_05ea1dce8951,sequence study,S002; S003; S004,147
XLINK_34d76f3e0fc3,M4-FUNG-0003:E001,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S002; S003; S004,147
XLINK_d15b102d8eba,M4-FUNG-0003:E001,assay.method,TERM_a1545263522e,clone sequencing / sequence assembly,S002; S003; S004,147
XLINK_5555960a9862,M4-FUNG-0003:E002,state.culture_architecture,TERM_186f079ce9be,native fungal culture,S005,148
XLINK_b56c1fe596d3,M4-FUNG-0003:E002,state.medium,TERM_abdbbbb8832c,aflatoxin-permissive culture conditions,S005,148
XLINK_57a69828ba96,M4-FUNG-0003:E002,action.intervention,TERM_3a429cdeb284,pksA disruption,S005,148
XLINK_38fea895b5cc,M4-FUNG-0003:E002,time.window,TERM_ec418730669c,endpoint,S005,148
XLINK_7eef3e7c4413,M4-FUNG-0003:E002,observation.sample_matrix,TERM_7f8ab810d1c5,culture extract / precursor phenotype,S005,148
XLINK_a13fa0ba18fc,M4-FUNG-0003:E002,assay.method,TERM_8864385058ce,TLC / genetic disruption,S005,148
XLINK_f4d91d8361bf,M4-FUNG-0003:E003,state.culture_architecture,TERM_352375642c58,submerged fungal culture,S006,149
XLINK_2448aaee1a5e,M4-FUNG-0003:E003,state.medium,TERM_991f8e36795b,nitrate-containing medium,S006,149
XLINK_bcb394eec839,M4-FUNG-0003:E003,action.intervention,TERM_7c1ff3997442,additional aflR copy / increased aflR expression,S006,149
XLINK_c18357146051,M4-FUNG-0003:E003,state.developmental_state,TERM_b816a21fe850,vegetative culture,S006,149
XLINK_ce33147d89c7,M4-FUNG-0003:E003,time.window,TERM_ec418730669c,endpoint,S006,149
XLINK_577f2974a1e9,M4-FUNG-0003:E003,observation.sample_matrix,TERM_bc8100d4de65,RNA + aflatoxin culture output,S006,149
XLINK_90a1061787ad,M4-FUNG-0003:E003,assay.method,TERM_a38462a71301,Northern/transcription assays + aflatoxin analysis,S006,149
XLINK_6c89c185cd65,M4-FUNG-0003:E004,state.culture_architecture,TERM_186f079ce9be,native fungal culture,S007,150
XLINK_4789ef349d69,M4-FUNG-0003:E004,action.intervention,TERM_0fd39bcdded7,aflR disruption,S007,150
XLINK_04545d02b164,M4-FUNG-0003:E004,time.window,TERM_ec418730669c,endpoint,S007,150
XLINK_86e305d240e6,M4-FUNG-0003:E004,observation.sample_matrix,TERM_a757ff4fc902,RNA + metabolite extract,S007,150
XLINK_91425f315197,M4-FUNG-0003:E004,assay.method,TERM_6423427bc19a,Northern + TLC + mass spectrometry,S007,150
XLINK_6b267cbe2513,M4-FUNG-0003:E005,state.culture_architecture,TERM_352375642c58,submerged fungal culture,S008,151
XLINK_438512e91888,M4-FUNG-0003:E005,state.medium,TERM_a9b9ea58b4b5,YES (inducing) versus Czapek-Dox/CZ (non-inducing in this system),S008,151
XLINK_571a7a56b58f,M4-FUNG-0003:E005,action.intervention,TERM_8723a3a7b467,nor-1 promoter-GUS reporter integrated at native nor-1 versus ectopic niaD/pyrG loci,S008,151
XLINK_901be19a7be3,M4-FUNG-0003:E005,state.developmental_state,TERM_57dc9a60bbc3,growth-phase transition,S008,151
XLINK_914f95a35b13,M4-FUNG-0003:E005,time.window,TERM_2da79a677319,"24, 48, 72 h",S008,151
XLINK_54a4348a7dad,M4-FUNG-0003:E005,observation.sample_matrix,TERM_22e6e093792f,RNA + culture aflatoxin + GUS reporter,S008,151
XLINK_22f576f8fbf0,M4-FUNG-0003:E005,assay.method,TERM_298811408876,Northern / GUS / aflatoxin analysis,S008,151
XLINK_fd49db72fc11,M4-FUNG-0003:E006,state.culture_architecture,TERM_6f41adfb4ade,small-volume fungal culture,S009,152
XLINK_2fe928f60b20,M4-FUNG-0003:E006,state.medium,TERM_e8f0ec35b8b1,YES,S009,152
XLINK_be6f85448265,M4-FUNG-0003:E006,action.intervention,TERM_e5aebeddd237,cypA insertional disruption,S009,152
XLINK_f6316889bd20,M4-FUNG-0003:E006,time.window,TERM_1da8d6d01623,3 days,S009,152
XLINK_f05d0c9f18d4,M4-FUNG-0003:E006,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S009,152
XLINK_7a676c353dc5,M4-FUNG-0003:E006,assay.method,TERM_c2e6b8aea506,"acetone extraction + methylene chloride partition + TLC, UV 360 nm",S009,152
XLINK_ec79bad85d52,M4-FUNG-0003:E007,state.culture_architecture,TERM_7f4f5e5cb281,genomic duplication and regulator-function study,S010,153
XLINK_1b1b28dfb302,M4-FUNG-0003:E007,action.intervention,TERM_59790a016851,partial-cluster duplication analysis; aflR1 deletion; one-/two-hybrid assays,S010,153
XLINK_545e0fa28d7d,M4-FUNG-0003:E007,time.window,TERM_ec418730669c,endpoint,S010,153
XLINK_2c685bf1b911,M4-FUNG-0003:E007,observation.sample_matrix,TERM_012a06808c0f,genomic DNA / regulator assays / precursor phenotype,S010,153
XLINK_1dd800ff204a,M4-FUNG-0003:E007,assay.method,TERM_70a734f52dfc,sequence analysis + one-hybrid + two-hybrid + deletion genetics,S010,153
XLINK_d3c469660cda,M4-FUNG-0004:E001,state.culture_architecture,TERM_d533e6b76a48,cluster sequencing / comparative genomics,S002; S004,139
XLINK_53f2598e5565,M4-FUNG-0004:E001,action.intervention,TERM_4eb4566c1fef,none,S002; S004,139
