conflict_key,dossier_id,conflict_id,issue_type_raw,description_raw,evidence_A_raw,evidence_B_raw,interpretation_raw,status_raw,source_ids,source_row
M4-FUNG-0001:U001,M4-FUNG-0001,U001,boundary_uncertainty,"MIBiG record covers 37.168 kb, whereas the functional AFT programme appears broader",MIBiG sequence boundary,wider AFT/accessory-chromosome literature,Treat reported BGC boundary and functional programme boundary as separate fields,open,S001; S003,180
M4-FUNG-0001:U002,M4-FUNG-0001,U002,strain_or_assay_discordance,AF-toxin congener detection differs across studies,multiple congeners reported,YM-19 kinetic assay dominated by AF-toxin I,"Preserve as potentially strain-, state-, or assay-dependent rather than forcing consensus",open,S002; S004,181
M4-FUNG-0001:U003,M4-FUNG-0001,U003,causal_resolution,The 2002 AFT1-1/AFT3-1 targeting experiment yielded toxin-minus mutants that had lost the entire 1.05-Mb accessory chromosome.,targeted transformation was initiated at AFT1-1/AFT3-1,all resulting toxin-minus/nonpathogenic mutants lacked the whole AFT chromosome,"Treat this as strong chromosome-level causal evidence, not clean single-gene knockout evidence.",resolved-by-scope,S003,182
M4-FUNG-0002:U001,M4-FUNG-0002,U001,product-attribution/provenance,"MIBiG associates BGC0000004 with aflatoxin G1, but RIB40 is experimentally non-aflatoxigenic and its homologous cluster is inactive under tested conditions.",MIBiG product field + independent G1 NMR evidence,RIB40 transcription/nonproduction evidence,Retain aflatoxin G1 as the database-linked product but score native RIB40 product formation as negative and native attribution as unproven.,open,S001; S002; S007,193
M4-FUNG-0002:U002,M4-FUNG-0002,U002,annotation_discrepancy,aflT transporter class differs between MIBiG and the primary paper.,MIBiG: putative ABC transporter,Tominaga: major facilitator superfamily transporter,Preserve both source annotations; do not silently harmonize without sequence-domain reanalysis.,open,S001; S002,194
M4-FUNG-0002:U003,M4-FUNG-0002,U003,deletion_boundary_reference_dependence,A deletion near norB/cypA is reported with different apparent extents across comparisons.,~1.5 kb deletion relative to A. parasiticus in Tominaga analysis,later RIB40-type comparisons describe a smaller defined deletion interval,Treat as reference/alignment-dependent boundary description unless direct sequence reconciliation is performed.,open,S002; S004,195
M4-FUNG-0002:U004,M4-FUNG-0002,U004,causal_completeness,"Multiple defects coexist in RIB40, so no single lesion has been shown to account for every level of nonproductivity.",low aflR expression + structural lesions,AflJ/AflS functional defect,Represent as a multilesion pathway; do not reduce to one 'silencing mechanism'.,open,S002; S003,196
M4-FUNG-0003:U001,M4-FUNG-0003,U001,database_status,BGC0000005 is biologically well supported but the current MIBiG v3 repository marks the record retired.,Strong primary sequence/function literature,Current MIBiG repository status = retired,Retain the record for historical/biological curation while preserving retired status; do not interpret retirement as evidence against the pathway.,resolved-for-atlas,S001; S003; S004,199
M4-FUNG-0003:U002,M4-FUNG-0003,U002,boundary_evolution,"The 82,081-bp accession contains the historical ~70-kb 25-gene core plus four genes originally described as an adjacent sugar-utilization cluster, but later work demonstrated an aflatoxin role for nadA within that adjacent block.",2004 sequence/map: 25-gene core ending before nadA-hxtA-glcA-sugR,2008 nadA disruption/expression/enzymology: nadA participates directly in G-group aflatoxin formation,Store historical core boundary separately from the evidence-updated functional programme boundary; do not classify nadA simply as non-BGC sugar-utilization.,resolved-by-temporal-annotation,S003; S004; S015; S016,200
M4-FUNG-0003:U003,M4-FUNG-0003,U003,gene_nomenclature,Historical aflJ nomenclature collides with standardized gene naming.,Historical aflJ refers to the co-regulator now standardized as aflS,Standardized aflJ refers to the estA locus,Store both standardized names and aliases explicitly; never merge aflS(old aflJ) with aflJ/estA.,open-terminology-risk,S002; S010,201
M4-FUNG-0003:U004,M4-FUNG-0003,U004,copy_number_interpretation,A partial duplicated cluster module exists in ATCC 56775 but is not a second complete functional pathway.,aflR2 retains regulator activity,Several duplicated structural genes carry damaging mutations/deletions and aflR2 cannot replace aflR1 in vivo,"Represent as a partial/degenerated duplication relationship, not as an independent complete BGC.",resolved-for-atlas,S010,202
M4-FUNG-0003:U005,M4-FUNG-0003,U005,gene_nomenclature,Later G-aflatoxin literature uses nadA nomenclature that can collide with historical consensus aflY/hypA naming.,2004 consensus: aflY = hypA at AY371490.1:67990-69582,2008 Ehrlich et al. describe the adjacent reductase as nadA and parenthetically use aflY terminology,Keep locus coordinates/protein accessions primary; never merge hypA/AAS66025.1 with nadA/AAS66029.1 solely on alias text.,open-terminology-risk,S002; S004; S016,203
M4-FUNG-0004:U001,M4-FUNG-0004,U001,completeness_semantics,"NCBI calls AY510451.1 the complete aflatoxin-cluster sequence, while AF13 lacks an intact ancestral norB–cypA G-branch module.",Complete deposited AF13 locus,Structural deletion removes promoter/5' coding regions for norB/cypA,"Interpret 'complete sequence' as complete AF13 locus, not complete B/G functional repertoire.",resolved-for-atlas,S002; S004,190
M4-FUNG-0004:U002,M4-FUNG-0004,U002,database_quality,MIBiG marks BGC0000006 quality SQ_A and completeness unknown despite strong direct evidence for native B1/B2 production.,MIBiG quality/completeness flags,Authentic-standard product evidence + extensive AF13 literature,Preserve MIBiG flags verbatim but score pathway identity and B1/B2 attribution independently as high.,resolved-for-atlas,S001; S003; S005,191
