compact_fact_id,dossier_id,section,source_row,fact_type,label_raw,statement_raw,source_ids,extra_raw_json,normalization_status
CF_414e821cc2d7,M4-FUNG-0078,ORGANISM_AND_SEQUENCE,21,organism_context_fact,organism_name,Aspergillus terreus NIH2624,S001; S002,,unreviewed
CF_654d3f5636eb,M4-FUNG-0078,ORGANISM_AND_SEQUENCE,22,organism_context_fact,ncbi_taxon_id,341663,S002,,unreviewed
CF_dae42e91df43,M4-FUNG-0078,ORGANISM_AND_SEQUENCE,23,organism_context_fact,reported_bgc_boundary,"CH476609.1:364,196–391,519",S001,,unreviewed
CF_9be63d782d8b,M4-FUNG-0078,ORGANISM_AND_SEQUENCE,24,organism_context_fact,refined_bgc_class,DMOA-derived fungal meroterpenoid pathway; mechanistically polyketide + farnesyl-derived terpene chemistry despite legacy terpene class,S003; S004,,unreviewed
CF_83546bf22caa,M4-FUNG-0078,PRODUCT_ACTIVATION_EVIDENCE,26,product_fact,primary_product,terretonin,S001; S003,,unreviewed
CF_a3c1feb2a009,M4-FUNG-0078,PRODUCT_ACTIVATION_EVIDENCE,27,product_fact,activation_intervention_required,native producer pathway was resolved primarily by targeted gene deletions and intermediate/shunt-product profiling; no special cryptic-cluster switch required,S003; S004,,unreviewed
CF_fc3e43e750c3,M4-FUNG-0078,PRODUCT_ACTIVATION_EVIDENCE,28,product_fact,complete_pathway_reconstruction,"substantial: DMOA formation, prenylation, cyclization, oxidative tailoring, ring expansion and terminal oxidations have direct genetic/biochemical support",S003; S004,,unreviewed
CF_5395987ca137,M4-FUNG-0078,PRODUCT_ACTIVATION_EVIDENCE,29,product_fact,major_unresolved_question,native regulatory/ecological role and quantitative flux control across the highly tailored late pathway remain incompletely resolved,S003; S004,,unreviewed
CF_a6d95ee55420,M4-FUNG-0078,EXPERIMENTS_AND_CLAIMS,37,experiment_fact,E001,A. terreus gene-targeting mutant panel,established terretonin BGC and pathway order,"{""E"": ""S003""}",unreviewed
CF_a18e592426bc,M4-FUNG-0078,EXPERIMENTS_AND_CLAIMS,38,experiment_fact,C001,"Terretonin is a DMOA-derived meroterpenoid assembled by genetically validated polyketide, prenylation and extensive oxidative/cyclization steps.",S003; S004,,unreviewed
CF_64dfc46e6076,M4-FUNG-0079,ORGANISM_AND_SEQUENCE,19,organism_context_fact,organism_name,Aspergillus nidulans FGSC A4,S001; S002,,unreviewed
