source_key,dossier_id,source_id,source_type_raw,year_raw,title_or_database_raw,doi_or_accession_raw,pmid_raw,url_raw,note,source_row
M4-FUNG-0001:S001,M4-FUNG-0001,S001,database,2019,MIBiG BGC0000003,BGC0000003,,https://mibig.secondarymetabolites.org/repository/BGC0000003/,MIBiG record currently flagged SQ_A; completeness unknown,191
M4-FUNG-0001:S002,M4-FUNG-0001,S002,primary research,2005,Structural analysis of cosmid clone pcAFT-2 carrying AFT10-1 encoding an acyl-CoA dehydrogenase involved in AF-toxin production in the strawberry pathotype of Alternaria alternata,10.1007/s10327-004-0170-3,NF,https://doi.org/10.1007/s10327-004-0170-3,"Published 2005; the 2004 string is part of the DOI, not the publication year.",192
M4-FUNG-0001:S003,M4-FUNG-0001,S003,primary research,2002,A conditionally dispensable chromosome controls host-specific pathogenicity in the fungal plant pathogen Alternaria alternata,10.1093/genetics/161.1.59,12019223,https://pubmed.ncbi.nlm.nih.gov/12019223/,Targeted AFT1-1/AFT3-1 transformants that lost toxin/pathogenicity also lost the entire accessory chromosome; not clean single-gene causality.,193
M4-FUNG-0001:S004,M4-FUNG-0001,S004,primary research,1990,Determination of Host-Selective Toxin Production During Spore Germination of Alternaria alternata by High-Performance Liquid Chromatography,10.1094/Phyto-80-1088,NF,https://www.apsnet.org/publications/phytopathology/backissues/Documents/1990Articles/Phyto80n10_1088.PDF,Different strain and experimental context from the NAF8 genetic studies.,194
M4-FUNG-0001:S005,M4-FUNG-0001,S005,taxonomy database,2026,NCBI Taxonomy: Alternaria alternata,TaxID 5599,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5599,,195
M4-FUNG-0002:S001,M4-FUNG-0002,S001,database,2024,MIBiG BGC0000004 v3,BGC0000004,,https://mibig.secondarymetabolites.org/repository/BGC0000004.3/index.html,Quality SQ_A; completeness unknown.,204
M4-FUNG-0002:S002,M4-FUNG-0002,S002,primary research,2006,Molecular Analysis of an Inactive Aflatoxin Biosynthesis Gene Cluster in Aspergillus oryzae RIB Strains,10.1128/AEM.72.1.484-490.2006,16391082,https://doi.org/10.1128/AEM.72.1.484-490.2006,Defining functional-status paper.,205
M4-FUNG-0002:S003,M4-FUNG-0002,S003,primary research,2011,Aflatoxin non-productivity of Aspergillus oryzae caused by loss of function in the aflJ gene product,10.1016/j.jbiosc.2010.12.022,21342785,https://doi.org/10.1016/j.jbiosc.2010.12.022,Regulatory-function evidence; recipient was RIB67.,206
M4-FUNG-0002:S004,M4-FUNG-0002,S004,primary research,2019,Comparative genome analysis of Aspergillus flavus clinically isolated in Japan,10.1093/dnares/dsy041,30520983,https://doi.org/10.1093/dnares/dsy041,"Comparative support, not direct RIB40 activation experiment.",207
M4-FUNG-0002:S005,M4-FUNG-0002,S005,primary research,2006,Aspergillus oryzae strains with a large deletion of the aflatoxin biosynthetic homologous gene cluster differentiated by chromosomal breakage,10.1007/s00253-005-0282-5,16673111,https://doi.org/10.1007/s00253-005-0282-5,Population context; distinct from RIB40 group 1.,208
M4-FUNG-0002:S006,M4-FUNG-0002,S006,database,current,NCBI accession/taxonomy,AB196490.1; TaxID 5062; RIB40 TaxID 510516,,https://www.ncbi.nlm.nih.gov/nuccore/AB196490.1,RIB40 has its own strain-level taxonomy record.,209
M4-FUNG-0002:S007,M4-FUNG-0002,S007,primary research,1965,The Structures of Aflatoxins B and G1,10.1021/ja01082a031,14284616,https://doi.org/10.1021/ja01082a031,Not evidence that A. oryzae RIB40 produces aflatoxin G1.,210
M4-FUNG-0002:S008,M4-FUNG-0002,S008,institutional genome database,current,CAoGDX / National Research Institute of Brewing: A. oryzae RIB40 aflatoxin-cluster loci,RIB40_02006775 (aflR),NA,https://nribf21.nrib.go.jp/CAoGDX/gen.cgi?ctgen_ctgmap=kog2&gen=RIB40_02006775&gnm=Aoryzae_RIB40&ntgen_ctgmap=locus_tag&prj=01949,Institutional genome resource used only for chromosome/locus context.,211
M4-FUNG-0003:S001,M4-FUNG-0003,S001,database,current,MIBiG repository entry BGC0000005.3,BGC0000005.3,,https://mibig.secondarymetabolites.org/repository,Record currently marked retired.,210
M4-FUNG-0003:S002,M4-FUNG-0003,S002,sequence database,2004,"AY371490.1 — Aspergillus parasiticus aflatoxin pathway gene cluster, complete sequence",AY371490.1,,https://getentry.ddbj.nig.ac.jp/getentry/na/AY371490,Primary sequence record used for gene-coordinate table.,211
M4-FUNG-0003:S003,M4-FUNG-0003,S003,primary research,2004,Completed sequence of aflatoxin pathway gene cluster in Aspergillus parasiticus,10.1016/S0014-5793(04)00327-8,15094053,https://doi.org/10.1016/S0014-5793(04)00327-8,Core architecture paper.,212
M4-FUNG-0003:S004,M4-FUNG-0003,S004,review/minireview,2004,Clustered pathway genes in aflatoxin biosynthesis,10.1128/AEM.70.3.1253-1262.2004,15006741,https://doi.org/10.1128/AEM.70.3.1253-1262.2004,Primary pathway map accompanying completed sequence era.,213
M4-FUNG-0003:S005,M4-FUNG-0003,S005,primary research,1995,The Aspergillus parasiticus polyketide synthase gene pksA is required for aflatoxin B1 biosynthesis,10.1007/BF02191593,7565588,https://doi.org/10.1007/BF02191593,Strong causal gene-level evidence.,214
M4-FUNG-0003:S006,M4-FUNG-0003,S006,primary research,1995,Increased expression of Aspergillus parasiticus aflR relieves nitrate inhibition of aflatoxin biosynthesis,10.1128/AEM.61.6.2372-2377.1995,7793958,https://doi.org/10.1128/AEM.61.6.2372-2377.1995,Key activation/regulatory experiment.,215
M4-FUNG-0003:S007,M4-FUNG-0003,S007,primary research,2000,Generation of aflR disruption mutants of Aspergillus parasiticus,10.1007/s002530000319,10919326,https://doi.org/10.1007/s002530000319,Strong regulator loss-of-function evidence.,216
M4-FUNG-0003:S008,M4-FUNG-0003,S008,primary research,2002,Chromosomal location plays a role in regulation of aflatoxin gene expression in Aspergillus parasiticus,10.1128/AEM.68.1.306-315.2002,11772640,https://doi.org/10.1128/AEM.68.1.306-315.2002,Key chromosomal-context and timing experiment.,217
M4-FUNG-0003:S009,M4-FUNG-0003,S009,primary research,2004,Aflatoxin biosynthesis cluster gene cypA is required for G aflatoxin formation,10.1128/AEM.70.11.6518-6524.2004,15528514,https://doi.org/10.1128/AEM.70.11.6518-6524.2004,Strong product-branch attribution.,218
M4-FUNG-0003:S010,M4-FUNG-0003,S010,primary research,2002,Characterization of a partial duplication of the aflatoxin gene cluster in Aspergillus parasiticus ATCC 56775,10.1007/s00253-002-0945-4,11956746,https://doi.org/10.1007/s00253-002-0945-4,Important copy-number/evolutionary context.,219
M4-FUNG-0003:S011,M4-FUNG-0003,S011,taxonomy database,current,NCBI Taxonomy: Aspergillus parasiticus,TaxID 5067,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5067,NCBI also exposes a separate strain-level record for A. parasiticus SU-1.,220
M4-FUNG-0003:S012,M4-FUNG-0003,S012,primary research,2005,Function of the cypX and moxY genes in aflatoxin biosynthesis in Aspergillus parasiticus,10.1128/AEM.71.6.3192-3198.2005,15933021,https://pubmed.ncbi.nlm.nih.gov/15933021/,A. parasiticus NRRL 2999.,221
