claim_key,dossier_id,claim_id,claim_text,evidence_type_raw,direct_or_inferred_raw,supporting_detail_raw,caveat_raw,source_ids,source_row
M4-FUNG-0001:C001,M4-FUNG-0001,C001,BGC0000003 is associated with AF-toxin biosynthesis,database + primary genetics,direct,MIBiG record plus AFT gene characterization,Boundary completeness remains uncertain,S001; S002,156
M4-FUNG-0001:C002,M4-FUNG-0001,C002,The MIBiG segment is likely not the complete functional AFT programme,comparative literature synthesis,inferred,Wider AFT loci/accessory chromosome context reported,Exact minimum pathway boundary unresolved,S001; S003,157
M4-FUNG-0001:C003,M4-FUNG-0001,C003,The pathway is not a classical silent/cryptic BGC in toxigenic native strains,native production evidence,inferred,Toxin produced without artificial activation in native assays,Production remains state- and strain-dependent,S002; S004,158
M4-FUNG-0001:C004,M4-FUNG-0001,C004,AFT1-1/AFT3-1 targeting in the 2002 study supports chromosome-level AFT-pathogenicity association but does not isolate single-gene necessity.,targeted transformation with chromosome-loss outcome,direct interpretation of experiment,All AF-toxin-minus/nonpathogenic transformants reported in that experiment lacked the entire 1.05-Mb AFT chromosome.,Do not use these mutants as clean AFT1-1 or AFT3-1 knockout evidence.,S003,159
M4-FUNG-0002:C001,M4-FUNG-0002,C001,BGC0000004 is a high-confidence aflatoxin-biosynthesis homolog cluster in A. oryzae RIB40,sequence synteny + gene homology,direct,Gene order/orientation closely matches aflatoxin clusters of producer Aspergillus species.,Functional production is not demonstrated in RIB40.,S001; S002,169
M4-FUNG-0002:C002,M4-FUNG-0002,C002,RIB40 does not show coordinated transcription of the aflatoxin pathway under the tested YES-medium condition,RT-PCR + qPCR,direct,"aflR is weakly expressed; avnA, vbs, verB and omtA are undetectable after 2 d at 30°C.",Condition-specific negative; does not by itself prove universal silence.,S002,170
M4-FUNG-0002:C003,M4-FUNG-0002,C003,AflJ/AflS loss-of-function is a mechanistically supported contributor to aflatoxin nonproductivity in A. oryzae,forced-expression allele comparison,direct,A. oryzae AflJ/AflS failed to activate downstream homolog genes whereas A. flavus allele was functional.,Test used RIB67 recipient and does not prove this is the only lesion in intact RIB40.,S003,171
M4-FUNG-0002:C004,M4-FUNG-0002,C004,The RIB40 locus should not be classified merely as an intact silent BGC,integrated genetic/transcriptional evidence,inferred,Regulatory inactivity coexists with protein loss-of-function and other structural lesions.,Extent to which each lesion contributes to complete nonproductivity remains unresolved.,S002; S003; S004,172
M4-FUNG-0002:C005,M4-FUNG-0002,C005,MIBiG's aflatoxin G1 product association should be separated from native RIB40 product evidence,database provenance audit,inferred,MIBiG cites independent NMR structure evidence for aflatoxin G1 while the RIB40 study describes an inactive cluster.,MIBiG is a BGC-product curation resource; this note concerns how the Atlas should interpret provenance.,S001; S002; S007,173
M4-FUNG-0003:C001,M4-FUNG-0003,C001,BGC0000005 corresponds to the canonical complete aflatoxin biosynthetic programme of A. parasiticus,complete sequence + pathway genetics,direct,AY371490.1 contains the completed pathway; 25 clustered pathway genes/ORFs are reported.,"MIBiG record itself is now retired, but pathway evidence remains strong.",S002; S003; S004,175
M4-FUNG-0003:C002,M4-FUNG-0003,C002,"The native reference strain produces aflatoxins B1, B2, G1 and G2",producer phenotype in defining sequence literature,direct,The sequence paper identifies SRRC 143/ATCC 56775 as a producer of all four major B/G aflatoxins.,Exact titer is condition-dependent and not encoded as a universal value.,S003,176
M4-FUNG-0003:C003,M4-FUNG-0003,C003,AflR abundance can functionally overcome nitrate-mediated inhibition of pathway expression,genetic overexpression under inhibitory medium,direct,"Extra aflR increased nor-1, ver-1 and omt-1 transcription and restored/increased aflatoxin biosynthesis in nitrate medium.",Does not imply AflR is the sole nutrient-response mechanism.,S006,177
M4-FUNG-0003:C004,M4-FUNG-0003,C004,Chromosomal position is itself a determinant of aflatoxin-gene expression,native-versus-ectopic reporter integration,direct,nor-1 promoter reporter was active at the native cluster locus but not equivalently at ectopic niaD/pyrG sites.,Reporter context does not by itself specify the molecular chromatin mechanism.,S008,178
M4-FUNG-0003:C005,M4-FUNG-0003,C005,Aflatoxin pathway activation is temporally coupled to fungal growth state,time-course transcription + metabolite data,direct,nor-1 transcript and aflatoxin absent at 24 h and high at 48–72 h in YES.,Specific timing is architecture/condition dependent.,S008,179
M4-FUNG-0003:C006,M4-FUNG-0003,C006,CypA separates G-aflatoxin formation from B-aflatoxin formation,gene disruption / chemotype,direct,cypA disruption removes G-aflatoxin formation without abolishing B-aflatoxins.,"Branch-specific evidence from A. parasiticus BN009E, not necessarily every strain.",S009,180
