measurement_key,dossier_id,measurement_id,subject_type,subject_id,analyte_raw,value_raw,value_numeric,unit_raw,denominator_raw,timepoint_raw,statistic_raw,n_raw,detection_limit_raw,direction_vs_control_raw,source_ids,note,source_row
M4-FUNG-0001:Q001,M4-FUNG-0001,Q001,EXPERIMENT,M4-FUNG-0001:E002,AF-toxin I,0.08,0.08,pg,spore,6 h,reported approximate value,,~10 ng method detection limit,,S004,Do not convert pg/spore into volumetric titer without denominator data,141
M4-FUNG-0002:Q001,M4-FUNG-0002,Q001,EXPERIMENT,M4-FUNG-0002:E001,aflR transcript abundance,11.6,11.6,%,A. parasiticus NFRI-95 control set to 100,2 days,relative qPCR value,3,NR,lower,S002,"RIB40; YES liquid culture, 30°C, 2 days with shaking. qPCR was run in triplicate per prepared cDNA.",154
M4-FUNG-0002:Q002,M4-FUNG-0002,Q002,EXPERIMENT,M4-FUNG-0002:E002,RIB group-1 frequency,122,122.0,strains,210 strains,survey,0.581,,,,S002,All seven tested AF-cluster loci amplified.,155
M4-FUNG-0002:Q003,M4-FUNG-0002,Q003,EXPERIMENT,M4-FUNG-0002:E002,RIB group-2 frequency,77,77.0,strains,210 strains,survey,0.367,,,,S002,Only a subset of tested cluster loci retained; large deletion class.,156
M4-FUNG-0002:Q004,M4-FUNG-0002,Q004,EXPERIMENT,M4-FUNG-0002:E002,RIB group-3 frequency,9,9.0,strains,210 strains,survey,0.043,,,,S002,Distinct deletion pattern.,157
M4-FUNG-0002:Q005,M4-FUNG-0002,Q005,EXPERIMENT,M4-FUNG-0002:E002,other genotype frequency,2,2.0,strains,210 strains,survey,0.009,,,,S002,Outside major groups.,158
M4-FUNG-0003:Q001,M4-FUNG-0003,Q001,EXPERIMENT,M4-FUNG-0003:E001,sequenced genomic region length,82081,82081.0,bp,AY371490.1,sequence,exact,1,,,S002; S003,Includes core AF cluster plus adjacent sugar-utilization genes.,160
M4-FUNG-0003:Q002,M4-FUNG-0003,Q002,EXPERIMENT,M4-FUNG-0003:E001,core aflatoxin pathway gene count,25,25.0,genes/ORFs,core ~70-kb AF cluster,sequence,reported,1,,,S003; S004,"Historical 2004 core count; later nadA evidence crosses that annotation boundary, so 25 genes should be read as a sequence-era core count rather than the final modern functional programme.",161
M4-FUNG-0003:Q003,M4-FUNG-0003,Q003,EXPERIMENT,M4-FUNG-0003:E001,adjacent sugar-utilization gene count,4,4.0,genes,adjacent region,sequence,reported,1,,,S003,"Historical 2004 sequence annotation counted nadA, hxtA, glcA and sugR as the adjacent four-gene sugar-utilization block; later nadA disruption/enzymology demonstrates a G-aflatoxin role, so only the historical annotation—not a strict modern functional boundary—is being counted here.",162
M4-FUNG-0003:Q004,M4-FUNG-0003,Q004,EXPERIMENT,M4-FUNG-0003:E005,nor-1 transcript,not detected,,qualitative,native-locus reporter/native gene,24 h,reported,,,,S008,No detectable aflatoxin at this time point in the reported time course.,163
M4-FUNG-0003:Q005,M4-FUNG-0003,Q005,EXPERIMENT,M4-FUNG-0003:E005,nor-1 transcript / aflatoxin output,high,,qualitative,relative to 24 h,48–72 h,reported,,,increase,S008,Coincides with transition toward stationary phase.,164
M4-FUNG-0003:Q006,M4-FUNG-0003,Q006,EXPERIMENT,M4-FUNG-0003:E006,cypA-disruption transformants lacking G1,6,6.0,transformants,tested disruption transformants described,3 days,count,,,,S009,B-aflatoxin production retained.,165
M4-FUNG-0003:Q007,M4-FUNG-0003,Q007,EXPERIMENT,M4-FUNG-0003:E006,transformant retaining B1 + G1 phenotype,1,1.0,transformant,comparison transformant described,3 days,count,,,,S009,Used as contrast in disruption analysis.,166
M4-FUNG-0004:Q001,M4-FUNG-0004,Q001,EXPERIMENT,M4-FUNG-0004:E001,AF13 sequence length,88318,88318.0,bp,AY510451.1,sequence,exact,1,,,S001; S002,,150
M4-FUNG-0004:Q002,M4-FUNG-0004,Q002,EXPERIMENT,M4-FUNG-0004:E001,large proximal norB–cypA deletion,854,854.0,bp,relative to A. parasiticus reference,sequence,reported,1,,,S004,AF13 and NRRL3357 also carry a separate 32-bp norB coding-region deletion.,151
M4-FUNG-0004:Q003,M4-FUNG-0004,Q003,EXPERIMENT,M4-FUNG-0004:E001,norB coding-region deletion,32,32.0,bp,AF13/NRRL3357,sequence,reported,1,,,S004,Located upstream of the larger deletion.,152
M4-FUNG-0004:Q004,M4-FUNG-0004,Q004,EXPERIMENT,M4-FUNG-0004:E002,norB/cypA transcript,not detected,,qualitative,AF13,3 days,Northern result,,,absent,S004,No expression in AF13 under tested glucose or peptone minimal-salts conditions.,153
M4-FUNG-0004:Q005,M4-FUNG-0004,Q005,EXPERIMENT,M4-FUNG-0004:E003,AFB1 in ground whole cottonseed,11.6,11.6,µg/culture,3.5 g ground seed in 70 mL culture,5 days,mean,4,,higher,S006,Reported ±7.8 µg/culture.,154
M4-FUNG-0004:Q006,M4-FUNG-0004,Q006,EXPERIMENT,M4-FUNG-0004:E003,AFB1 in lipid-extracted ground cottonseed,0.014,0.014,µg/culture,3.5 g extracted seed in 70 mL culture,5 days,mean,4,,lower,S006,Reported ±0.008 µg/culture; >800-fold below whole-seed treatment.,155
M4-FUNG-0004:Q007,M4-FUNG-0004,Q007,EXPERIMENT,M4-FUNG-0004:E003,AFB1 after crude-lipid reconstitution,13,13.0,µg/culture,lipid-extracted seed + restored crude lipid in 70 mL,5 days,mean,4,,restored,S006,Reported ±9.5 µg/culture.,156
M4-FUNG-0004:Q008,M4-FUNG-0004,Q008,EXPERIMENT,M4-FUNG-0004:E003,AFB1 in raffinose reference medium,107,107.0,µg/culture,70 mL culture,5 days,mean,4,,,S006,Reported ±32.2 µg/culture.,157
M4-FUNG-0004:Q009,M4-FUNG-0004,Q009,EXPERIMENT,M4-FUNG-0004:E003,AFB1 with crude cottonseed lipids as sole carbon source,534,534.0,ng/mL,defined medium,5 days,reported,,,,S006,,158
