observation_id,dossier_id,experiment_key,observation_type,subject_type,subject_id,value_raw,measurement_scale,timepoint_raw,source_ids,source_row,normalization_status
OBS_7dd132a01ff4,M4-FUNG-0001,M4-FUNG-0001:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0001:E001,AFT10 disruption reduced toxin production and pathogenicity,qualitative_or_composite,,S002,128,unreviewed
OBS_68e9d77c5438,M4-FUNG-0001,M4-FUNG-0001:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0001:E002,AF-toxin I accumulated during germination; other congeners differed in detectability,qualitative_or_composite,early germination time course,S004,129,unreviewed
OBS_2c3503cc7b66,M4-FUNG-0001,M4-FUNG-0001:E002,measurement,EXPERIMENT,M4-FUNG-0001:E002,0.08,quantitative,6 h,S004,141,mapped
OBS_f8143ee267e2,M4-FUNG-0002,M4-FUNG-0002:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0002:E001,"Weak aflR transcription; avnA, vbs, verB and omtA transcripts not detected in RIB40/group-1 strains; producer control expressed tested genes",qualitative_or_composite,2 days,S002,141,unreviewed
OBS_f908de177f79,M4-FUNG-0002,M4-FUNG-0002:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0002:E002,122 strains group 1 (all seven tested loci); 77 group 2; 9 group 3; 2 other. All 210 had previously been reported non-aflatoxigenic.,qualitative_or_composite,single survey,S002,142,unreviewed
OBS_d562ce676187,M4-FUNG-0002,M4-FUNG-0002:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0002:E003,A. oryzae AflJ/AflS allele failed to support downstream AF-gene expression; A. flavus allele was functional; AflR substitutions were not the causal defect in this assay.,qualitative_or_composite,NR,S003,143,unreviewed
OBS_1923adeecc2a,M4-FUNG-0002,M4-FUNG-0002:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0002:E004,"Aflatoxins were not detected in strains carrying the RIB40-type cluster genotype, supporting functional impairment of this allele set.",qualitative_or_composite,NR,S004,144,unreviewed
OBS_60ceab8f4095,M4-FUNG-0002,M4-FUNG-0002:E005,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0002:E005,"Group-2 strains carried a large deletion removing more than half of the aflatoxin-homologous cluster, including aflR, associated with chromosomal breakage.",qualitative_or_composite,NR,S005,145,unreviewed
OBS_886efd9ebdb7,M4-FUNG-0002,M4-FUNG-0002:E001,measurement,EXPERIMENT,M4-FUNG-0002:E001,11.6,quantitative,2 days,S002,154,mapped
OBS_dab292e73a09,M4-FUNG-0002,M4-FUNG-0002:E002,measurement,EXPERIMENT,M4-FUNG-0002:E002,122,quantitative,survey,S002,155,mapped
OBS_f228839669e8,M4-FUNG-0002,M4-FUNG-0002:E002,measurement,EXPERIMENT,M4-FUNG-0002:E002,77,quantitative,survey,S002,156,mapped
OBS_9f6b10b86803,M4-FUNG-0002,M4-FUNG-0002:E002,measurement,EXPERIMENT,M4-FUNG-0002:E002,9,quantitative,survey,S002,157,mapped
OBS_a41de2e4e0a2,M4-FUNG-0002,M4-FUNG-0002:E002,measurement,EXPERIMENT,M4-FUNG-0002:E002,2,quantitative,survey,S002,158,mapped
OBS_0f9350ee03c1,M4-FUNG-0003,M4-FUNG-0003:E001,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E001,"82,081-bp region completed; ~70-kb core aflatoxin cluster contains 25 pathway genes/ORFs plus an adjacent 4-gene sugar-utilization region",qualitative_or_composite,sequence study,S002; S003; S004,147,unreviewed
OBS_0314bdc930c8,M4-FUNG-0003,M4-FUNG-0003:E002,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E002,"pksA disruption abolishes aflatoxin B1 biosynthesis/early pathway output, establishing the core PKS requirement",qualitative_or_composite,endpoint,S005,148,unreviewed
OBS_46e41b31c10c,M4-FUNG-0003,M4-FUNG-0003:E003,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E003,"Extra aflR increased aflR, nor-1, ver-1 and omt-1 transcription and relieved nitrate inhibition of aflatoxin biosynthesis",qualitative_or_composite,endpoint,S006,149,unreviewed
OBS_bb6340dbe0d2,M4-FUNG-0003,M4-FUNG-0003:E004,experiment_outcome_raw,EXPERIMENT,M4-FUNG-0003:E004,"aflR disruption eliminated OMST accumulation and abolished aflR, ver-1 and omtA transcripts",qualitative_or_composite,endpoint,S007,150,unreviewed
