relationship_key,dossier_id,relationship_id,subject_raw,predicate_raw,object_raw,relationship_text_raw,source_ids,note,source_row,normalization_status
M4-FUNG-0001:R001,M4-FUNG-0001,R001,BGC0000003,is_segment_of,wider AFT functional programme,,S001; S003,Database boundary versus functional programme boundary,169,mapped_triplet
M4-FUNG-0001:R002,M4-FUNG-0001,R002,wider AFT functional programme,located_on,conditionally dispensable/accessory chromosome,,S003,,170,mapped_triplet
M4-FUNG-0001:R003,M4-FUNG-0001,R003,E001,uses_strain,NAF8,,S002,,171,mapped_triplet
M4-FUNG-0001:R004,M4-FUNG-0001,R004,E002,uses_strain,YM-19,,S004,Do not merge strain-specific results,172,mapped_triplet
M4-FUNG-0002:R001,M4-FUNG-0002,R001,BGC0000004,homologous_to,canonical aflatoxin biosynthetic gene cluster,,S001; S002,Synteny and protein homology.,182,mapped_triplet
M4-FUNG-0002:R002,M4-FUNG-0002,R002,RIB40 aflJ/aflS allele,has_functional_state,loss-of-function in regulatory assay,,S003,Four amino-acid substitutions reported relative to functional comparator.,183,mapped_triplet
M4-FUNG-0002:R003,M4-FUNG-0002,R003,E001,uses_strain,A. oryzae RIB40,,S002,,184,mapped_triplet
M4-FUNG-0002:R004,M4-FUNG-0002,R004,E003,uses_recipient,A. oryzae RIB67,,S003,Do not interpret as full-pathway rescue in RIB40.,185,mapped_triplet
M4-FUNG-0002:R005,M4-FUNG-0002,R005,MIBiG compound annotation,references_structure_evidence,aflatoxin G1 NMR characterization,,S001; S007,"Independent compound evidence, not direct RIB40 production.",186,mapped_triplet
M4-FUNG-0003:R001,M4-FUNG-0003,R001,AY371490.1:1-82081,contains,~70-kb 25-gene aflatoxin biosynthetic cluster,,S002; S003; S004,Sequence region is larger than the core functional programme.,188,mapped_triplet
M4-FUNG-0003:R002,M4-FUNG-0003,R002,AY371490.1:1-82081,contains_historical_adjacent_block,nadA-hxtA-glcA-sugR; nadA later shown to participate in G-aflatoxin formation,,S003; S004; S015; S016,Do not treat all four genes as functionally equivalent boundary markers.,189,mapped_triplet
M4-FUNG-0003:R003,M4-FUNG-0003,R003,aflR,activates,multiple aflatoxin structural genes,,S006; S007,"nor-1, ver-1 and omtA/omt-1 provide direct experimental readouts.",190,mapped_triplet
M4-FUNG-0003:R004,M4-FUNG-0003,R004,nitrate,inhibits,aflatoxin pathway expression/production under tested condition,,S006,Elevated AflR can overcome this inhibition.,191,mapped_triplet
M4-FUNG-0003:R005,M4-FUNG-0003,R005,native chromosomal cluster position,supports,nor-1 expression under inducing conditions,,S008,Ectopic reporter integration is poorly expressed.,192,mapped_triplet
M4-FUNG-0003:R006,M4-FUNG-0003,R006,aflU/cypA,required_for,G-aflatoxin branch,,S009,B-aflatoxin branch remains.,193,mapped_triplet
